title,body_texts,img_urls
セイコー系、車両管理の新サービスアルコール検知特化と物理鍵対応,セイコーグループでシステム構築などを手掛けるセイコーソリューションズは、同社の法人向けクラウド型車両管理システム「Mobility＋」で2つの新サービスの提供を2月から始めると発表した。アルコールチェッカーの結果が一定の基準値を上回ると、エンジンがかからなくなる「アルコールインターロック機能」に特化したサービスと、シリンダーキー（物理キー）に対応したサービスを提供する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2517885023012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=115b07148286bd2168ff65e495040ca8
NTTドコモなど、家庭用蓄電池の導入サービス先行受付を開始,NTTドコモと電力事業を手掛けるNTTスマイルエナジー（大阪市）、家庭向け太陽光発電設備を販売するELJソーラーコーポレーション（名古屋市）は、家庭用蓄電池の普及促進に向けて業務提携したと発表した。各社の強みを生かした蓄電池の導入サービスを提供する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2513477022012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=fa9e3cc7aed2ae5eb7872ae8d20c95a7
TikTokの米国事業移管が完了米政府主導でオラクル連合に,【ワシントン=八十島綾平】中国発の動画共有アプリTikTok（ティックトック）の運営会社は22日、米国事業の移管手続きが完了したと発表した。米オラクルなどが設立した合弁会社が受け皿となる。米政府が主導する異例の再編劇が決着し、米国でのサービス継続に道筋がついた。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2514797023012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=bbd8fe0eeeb24e706a7854a3c00029af
世界のAIアプリ収益3.3倍に25年50億ドル、米調査会社,米調査会社のセンサータワーは「Chat（チャット）GPT」など生成AI（人工知能）アプリの世界収益額が2025年に約50億ドル（約7900億円）と、前年比3.3倍に増えたと発表した。利用時間も3.6倍に伸びた。「Gemini（ジェミニ）」「DeepSeek（ディープシーク）」などの米中企業のAIアプリを筆頭に、個人中心のスマートフォン市場でも利用拡大が続く。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2513530022012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=0567ac1dc263f2d500e6c75bcbb4a55b
大塚商会、中堅・中小向けチャット型生成AI月額11万円で,大塚商会は、中堅・中小企業向けのチャット型生成AI（人工知能）サービス「たよれーるneoAI Chat mini」の提供を2月2日に始めると発表した。企業データを学習させることで、社内規定の自動応答や議事録要約、資料作成の自動化など様々な業務に特化したAIアシスタントを簡単に構築できる。年間契約で価格は月額11万円（税抜き）から。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2511594022012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=c7c55853697920830ecb890b3ed38296
さくらインターネット執行役員「国内AI産業のインフラ企業に」,さくらインターネットは生成AI（人工知能）を使いたい企業向けに米エヌビディア製の画像処理半導体（GPU）を活用したクラウドサービスを提供している。2025年には新たにコンテナ型データセンターを稼働し、エヌビディアのGPU「H200」を1072台導入した。同社のAI事業を担当する霜田純執行役員に今後の成長戦略を聞いた。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2488108016012026000000-2.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.3&fp-z=1&crop=focalpoint&s=54ddcc7443a73b787fd30778b2b06bc1
アパホテル、1日に2度貸し稼働率100%超｢空白の時間｣ITで短縮,観光庁の統計によると、2024年の東京都の宿泊施設の稼働率は75.1%。旺盛なインバウンド需要を追い風に、かつてないほど高水準が続いている。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2445792007012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=481c27770b710c5561b6d1d711328c12
三菱食品社長「欧米やアジアに日本食を」海外投資を加速へ,食品卸大手の三菱食品は2025年に三菱商事の完全子会社となり、26年から本格的に日本食文化の輸出を拡大する。食品卸業界はメーカーと小売りをつなぐ役割だが、物流コストの上昇などで経営環境は厳しい。京谷裕社長に26年の消費動向、三菱商事と一体となった成長戦略をどう描くのかについて聞いた。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2437068005012026000000-2.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.37&fp-y=0.28&fp-z=1&crop=focalpoint&s=04db512c6907121340b31ed6598756bb
タイ通信大手トゥルー、ノルウェー同業が保有株売却へ6100億円,【バンコク=赤間建哉】タイ通信最大手トゥルー・コーポレーションは22日、ノルウェー通信大手テレノールが保有するトゥルー株式を売却する方針を固めたと発表した。売却額は総額1228億バーツ（約6100億円）。トゥルー大株主のタイ最大手財閥チャロン・ポカパン（CP）グループ系ファンドが買い取り、経営へ関与を強める。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2514046022012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.1&fp-y=0.76&fp-z=1&crop=focalpoint&s=793996d7b184019918873f38ac23ac06
アリババ、半導体事業のIPO検討ブルームバーグ報道,【上海=若杉朋子】米ブルームバーグ通信は22日、中国ネット通販最大手のアリババ集団が半導体開発部門について新規株式公開（IPO）の準備を進めていると報じた。時期は未定という。中国政府が生成AI（人工知能）向けなどで自国半導体の普及を後押しするなか、半導体関連企業のIPOが相次いでいる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2513766022012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=abcb956eda980f2aa23c24697cf4cb5b
